Recorder,Date,Month,Plant_ID,Quad1,Height_cm,Canopy_x_cm,Canopy_y_cm,Notes,,Quad2,,,,,,,,,,,,,,,,
BW,2/9/24,February,C6.PHATAN.1,C,6,8.5,5,one extra,,TR,,,,,,,,,,,,,,,,
BW,2/9/24,February,C7.PHATAN.1,BR,5,8.5,7.5,,,X,,,,,,,,,,,,,,,,
BW,2/9/24,February,D3.PHATAN.1,CR,10,21,19,,,TL,,,,,,,,,,,,,,,,
BW,2/9/24,February,D5.PHATAN.1,TR,4,11.5,9,,,CT,,,,,,,,,,,,,,,,
BW,2/9/24,February,E2.PHATAN.1,CR,3,11.5,10.5,,,C,,,,,,,,,,,,,,,,
BW,2/9/24,February,E4.PHATAN.1,C,10,19,13.5,,,TL,,,,,,,,,,,,,,,,
BW,2/9/24,February,F2.PHATAN.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,F7.PHATAN.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,G4.PHATAN.1,C,1.5,4,2,,,X,,,,,,,,,,,,,,,,
BW,2/9/24,February,H3.PHATAN.1,TL,2.5,11.5,6,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,I3.PHATAN.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,J4.PHATAN.1,N/A,N/A,N/A,N/A,NF,,TL,,,,,,,,,,,,,,,,
BW,2/9/24,February,J7.PHATAN.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,A5.PLAERE.1,C,3.5,3.25,2.5,,,C,,,,,,,,,,,,,,,,
BW,2/9/24,February,A8.PLAERE.1,C,0.75,0.75,0.5,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,B2.PLAERE.1,C,2.25,1.5,1.5,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,B5.PLAERE.1,C,2.75,2,1.25,,,BR,,,,,,,,,,,,,,,,
BW,2/9/24,February,C1.PLAERE.1,N/A,N/A,N/A,N/A,too close to 0.2s,,C,,,,,,,,,,,,,,,,
BW,2/9/24,February,D4.PLAERE.1,CR,2,2,2.5,,,TL,,,,,,,,,,,,,,,,
BW,2/9/24,February,E7.PLAERE.1,CR,2,4.75,4,,,CL,,,,,,,,,,,,,,,,
BW,2/9/24,February,F4.PLAERE.1,C,2,1.75,1.5,,,TL,,,,,,,,,,,,,,,,
BW,2/9/24,February,F5.PLAERE.1,C,1.5,1.5,1,,,BR,,,,,,,,,,,,,,,,
BW,2/9/24,February,G2.PLAERE.1,CR,1,1,0.5,,,CL,,,,,,,,,,,,,,,,
BW,2/9/24,February,G5.PLAERE.1,BR,1,0.5,0.5,,,BL,,,,,,,,,,,,,,,,
BW,2/9/24,February,H4.PLAERE.1,C,2.5,2.25,2.25,,,CL,,,,,,,,,,,,,,,,
BW,2/9/24,February,H7.PLAERE.1,BR,1,1.25,1,,,BL,,,,,,,,,,,,,,,,
BW,2/9/24,February,I7.PLAERE.1,BL,1.5,1,0.25,,,CL,,,,,,,,,,,,,,,,
BW,2/9/24,February,J3.PLAERE.1,TL,1,1.25,0.75,Herbivory,,C,,,,,,,,,,,,,,,,
BW,2/9/24,February,J6.PLAERE.1,C,3.5,3.75,3.5,,,TL,,,,,,,,,,,,,,,,
BW,2/9/24,February,A1.PLANOT.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,B4.PLANOT.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,C3.PLANOT.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,C8.PLANOT.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,D1.PLANOT.1,C,1,5,5,,,CR,,,,,,,,,,,,,,,,
BW,2/9/24,February,E1.PLANOT.1,N/A,N/A,N/A,N/A,,,CR,,,,,,,,,,,,,,,,
BW,2/9/24,February,E3.PLANOT.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,F1.PLANOT.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,G6.PLANOT.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,G7.PLANOT.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,H2.PLANOT.1,CL,0.5,1.75,1.5,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,H6.PLANOT.1,N/A,N/A,N/A,N/A,,,TR,,,,,,,,,,,,,,,,
BW,2/9/24,February,I5.PLANOT.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,I6.PLANOT.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,I8.PLANOT.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,J2.PLANOT.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,A2.SALCOL.1,C,1.25,3.25,3,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,A4.SALCOL.1,BL,0.5,1.75,0.5,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,B8.SALCOL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,C6.SALCOL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,C7.SALCOL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,D3.SALCOL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,D5.SALCOL.1,N/A,N/A,N/A,N/A,NF,,C,,,,,,,,,,,,,,,,
BW,2/9/24,February,E2.SALCOL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,E4.SALCOL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,F2.SALCOL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,F7.SALCOL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,G4.SALCOL.1,N/A,N/A,N/A,N/A,,,BR,,,,,,,,,,,,,,,,
BW,2/9/24,February,H3.SALCOL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,I3.SALCOL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,J4.SALCOL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,J7.SALCOL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,A6.STIPUL.1,BR,5.25,2.5,1,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,A7.STIPUL.1,N/A,N/A,N/A,N/A,NF,,CR,,,,,,,,,,,,,,,,
BW,2/9/24,February,B3.STIPUL.1,BR,4.5,4.5,1,,,BC,,,,,,,,,,,,,,,,
BW,2/9/24,February,B6.STIPUL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,C2.STIPUL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,D7.STIPUL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,D8.STIPUL.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,E5.STIPUL.1,BC,4.75,0.75,0.5,,,BR,,,,,,,,,,,,,,,,
BW,2/9/24,February,E6.STIPUL.1,TL,6.5,0.5,1.75,,,TL,,,,,,,,,,,,,,,,
BW,2/9/24,February,F6.STIPUL.1,BL,4.5,2,1,,,TR,,,,,,,,,,,,,,,,
BW,2/9/24,February,G3.STIPUL.1,BL,4.5,1.5,0.5,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,H1.STIPUL.1,BR,4,4.5,0.5,,,BL,,,,,,,,,,,,,,,,
BW,2/9/24,February,H8.STIPUL.1,TR,6,0.25,0.25,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,I2.STIPUL.1,BL,6,5,2.75,,,BL,,,,,,,,,,,,,,,,
BW,2/9/24,February,J5.STIPUL.1,CR,4,4,1,,,BL,,,,,,,,,,,,,,,,
BW,2/9/24,February,J8.STIPUL.1,BL,4.5,2,0.75,,,CL,,,,,,,,,,,,,,,,
BW,2/9/24,February,23.A6.STIPUL.1,TR,16,22,20,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,23.A7.STIPUL.1,TL,13.5,22,19,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,23.B3.STIPUL.1,L,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,23.B6.STIPUL.1,C,4.5,17,13,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,23.C2.STIPUL.1,TR,17,19,23.5,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,23.D7.STIPUL.1,TL,16.25,12,13,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,23.D8.STIPUL.1,TL,19,29.5,30.5,,,,,,,,,,,,,,,,,,,
BW,2/8/24,February,23.E5.STIPUL.1,CB,16.5,13,10,,,,,,,,,,,,,,,,,,,
BW,2/8/24,February,23.E6.STIPUL.1,BL,13.25,18,13.5,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,23.F6.STIPUL.1,BR,22.5,20.5,10,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,23.G3.STIPUL.1,CR,14,14,17,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,23.H1.STIPUL.1,TL,11,20,11.5,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,23.H8.STIPUL.1,BL,14.5,16,18,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,23.I2.STIPUL.1,C,5.5,21,20,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,23.J5.STIPUL.1,BR,9,14.5,5,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,23.J8.STIPUL.1,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,A3.TORARV.1,C,2,5.5,4.5,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,B1.TORARV.1,BR,1.5,2.75,2.5,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,B7.TORARV.1,CL,2.5,11,6,no painted tp,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,C4.TORARV.1,CR,4.5,4.75,5,NPT,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,C5.TORARV.1,C,3,3.75,4.5,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,D2.TORARV.1,TR,1,1.5,1.75,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,D6.TORARV.1,TR,1,1.75,0.75,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,E8.TORARV.1,C,1.5,1.75,1,,,CR,,,,,,,,,,,,,,,,
BW,2/12/24,February,F3.TORARV.1,TR,1,3,2.5,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,F8.TORARV.1,TL,2,3.75,4,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,G1.TORARV.1,C,1.5,2,1,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,G8.TORARV.1,C,1.5,2.25,1.5,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,H5.TORARV.1,CL,1.75,1.5,1.25,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,I1.TORARV.1,CR,3.25,2,2,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,I4.TORARV.1,CL,1.5,1,0.75,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,J1.TORARV.1,TL,2.5,3,1.5,,,CB,,,,,,,,,,,,,,,,
BW,2/12/24,February,A3.TRIHIR.1,CB,0.25,0.5,0.5,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,B1.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,B7.TRIHIR.1,TL,1.5,2.25,1.5,,,CR,,,,,,,,,,,,,,,,
BW,2/12/24,February,C4.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,C5.TRIHIR.1,TL,1.25,2,1.25,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,D2.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,D6.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/8/24,February,E8.TRIHIR.1,TC,1.5,1.75,1.5,,,BL,,,,,,,,,,,,,,,,
BW,2/12/24,February,F3.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,F8.TRIHIR.1,C,0.5,0.75,0.5,,,CB,,,,,,,,,,,,,,,,
BW,2/12/24,February,G1.TRIHIR.1,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,G8.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,H5.TRIHIR.1,N/A,N/A,N/A,N/A,,,CT,,,,,,,,,,,,,,,,
BW,2/12/24,February,I1.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,I4.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,J1.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,A5.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,A8.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,B2.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,B5.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,C1.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,D4.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,E7.TRIHIR.1,C,1.5,1,1,,,CR,,,,,,,,,,,,,,,,
BW,2/12/24,February,F4.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,F5.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,G2.TRIHIR.1,N/A,N/A,N/A,N/A,OO,,BL,,,,,,,,,,,,,,,,
BW,2/12/24,February,G5.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,H4.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,H7.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,I7.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,J3.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,2/12/24,February,J6.TRIHIR.1,N/A,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,A3.VICSAT.1,C,5.5,4,2,,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,B1.VICSAT.1,TC,12.5,7,1,,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,B7.VICSAT.1,LT,3.5,3.5,0.5,,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,C4.VICSAT.1,TR,6,5,2.5,,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,C5.VICSAT.1,TL,6,7.25,5,,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,D2.VICSAT.1,C,8.5,7,5,,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,D6.VICSAT.1,TL,3.5,3.5,2.5,,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,E8.VICSAT.1,BC,5,7.75,2.75,,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,F3.VICSAT.1,CL,7.5,5,4.5,,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,F8.VICSAT.1,BC,1.5,3,2,,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,G1.VICSAT.1,CC,5.75,5,3.5,,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,G8.VICSAT.1,TC,5,4,2.5,,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,H5.VICSAT.1,BC,3,1.5,1.25,,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,I1.VICSAT.1,C,5.25,3,2.25,,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,I4.VICSAT.1,C,2.75,3.75,2.25,,,,,,,,,,,,,,,,,,,
LG,2/12/24,February,J1.VICSAT.1,TC,11,8.5,2.25,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,J4.ACMPAR.1,CR,0.25,1,0.5,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,A1.ACMPAR.2,CB,na,na,na,,,,,,,,,,,,,,,,,,,
BW,2/9/24,February,B4.ACMPAR.2,C,na,na,na,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,A1.AIRCAR.1,CR,2.5,1.25,1.25,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,B4.AIRCAR.1,BL,0.75,2,1,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,C3.AIRCAR.1,C,2,2,1.5,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,C8.AIRCAR.1,C,1.5,2.5,1.5,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,D1.AIRCAR.1,CB,1.5,3,2.75,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,E1.AIRCAR.1,C,2,3.5,2.5,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,E3.AIRCAR.1,TL,7,5.5,5.5,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,F1.AIRCAR.1,BL,1.5,3,2.5,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,G6.AIRCAR.1,BL,1.5,2.25,2,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,G7.AIRCAR.1,C,1.5,3.25,2.5,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,H2.AIRCAR.1,TR,2.75,4.75,3.5,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,H6.AIRCAR.1,TL,2.5,2,2,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,I5.AIRCAR.1,CL,1.75,3.75,2.25,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,I6.AIRCAR.1,C,1.5,2.75,2.5,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,I8.AIRCAR.1,C,2,2.5,2.25,,,,,,,,,,,,,,,,,,,
CM,3/6/24,March,J2.AIRCAR.1,C,1.75,3.75,3.25,,,,,,,,,,,,,,,,,,,
BW,3/7/24,March,A2.AMSINK.1,C,5.75,10,8,,,,,,,,,,,,,,,,,,,
BW,3/7/24,March,A4.AMSINK.1,BR,20,22,21.5,,,,,,,,,,,,,,,,,,,
LS,3/4/24,March,B8.AMSINK.1,C,13,14,13.5,,,,,,,,,,,,,,,,,,,
LS,3/4/24,March,C6.AMSINK.1,TR,14.5,19,18.25,,,,,,,,,,,,,,,,,,,
LS,3/4/24,March,C7.AMSINK.1,CL,12,15.5,14.5,,,,,,,,,,,,,,,,,,,
LS,3/4/24,March,D3.AMSINK.1,TR,6.75,12.5,14,,,,,,,,,,,,,,,,,,,
LS,3/4/24,March,D5.AMSINK.1,TR,12.75,19.5,21.25,,,,,,,,,,,,,,,,,,,
LS,3/4/24,March,E2.AMSINK.1,BL,9.75,12.5,12.25,,,,,,,,,,,,,,,,,,,
LS,3/4/24,March,E4.AMSINK.1,CL,11.5,15.25,15.5,"not found, new TP added",,,,,,,,,,,,,,,,,,
LS,3/4/24,March,F2.AMSINK.1,CT,6,9,8.5,,,,,,,,,,,,,,,,,,,
LS,3/4/24,March,F7.AMSINK.1,TR,3.75,11,10,,,,,,,,,,,,,,,,,,,
LS,3/4/24,March,G4.AMSINK.1,CL,8.5,13,10.5,,,,,,,,,,,,,,,,,,,
BW,3/7/24,March,H3.AMSINK.1,CL,6,4,1.5,,,,,,,,,,,,,,,,,,,
LS,3/4/24,March,I3.AMSINK.1,BR,1.75,2.25,2,"wrong id, new pl BR",,,,,,,,,,,,,,,,,,
LS,3/4/24,March,J4.AMSINK.1,BR,6.5,13,12,,,,,,,,,,,,,,,,,,,
LS,3/4/24,March,J7.AMSINK.1,CL,11.25,17.5,16,,,,,,,,,,,,,,,,,,,
Eden,3/6/24,March,A1.AVEBAR.1,CB,5,10.5,12.5,,,,,,,,,,,,,,,,,,,
Eden,3/6/24,March,B4.AVEBAR.1-C3,C,N/A,N/A,N/A,not found ,,,,,,,,,,,,,,,,,,
Eden,3/6/24,March,C3.AVEBAR.1,TL,9.5,22,13,,,,,,,,,,,,,,,,,,,
Eden,3/6/24,March,C8.AVEBAR.1,TR,8.5,21,16.75,,,,,,,,,,,,,,,,,,,
Eden,3/6/24,March,D1.AVEBAR.1,BL/BC,5,12.25,10.25,,,,,,,,,,,,,,,,,,,
Eden,3/6/24,March,E1.AVEBAR.1,CR,4,9,10.5,,,,,,,,,,,,,,,,,,,
Eden,3/6/24,March,E3.AVEBAR.1,CR,5.5,11.5,13,,,,,,,,,,,,,,,,,,,
Eden,3/6/24,March,F1.AVEBAR.1-D1,BR,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
Eden,3/6/24,March,G6.AVEBAR.1-E1,C,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
Eden,3/6/24,March,G7.AVEBAR.1-H6,BR,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
BW,3/12/24,March,H2.AVEBAR.1,BR,11.5,20,10,,,,,,,,,,,,,,,,,,,
Eden,3/6/24,March,H6.AVEBAR.1,TL,8,12.5,15.75,,,,,,,,,,,,,,,,,,,
Eden,3/6/24,March,I5.AVEBAR.1-C8,C,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
Eden,3/6/24,March,I6.AVEBAR.1,C,3.75,18.5,14.5,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,I8.AVEBAR.1,NA,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,J2.AVEBAR.1,BR,11.5,32,31.5,"wrong id, new tp added",,,,,,,,,,,,,,,,,,
BW,3/4/24,March,A3.AVEBAR.1,BR,N/A,N/A,N/A,"wrong id, NF",,,,,,,,,,,,,,,,,,
BW,3/4/24,March,B1.AVEBAR.1,NA,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,B7.AVEBAR.1,NA,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,C4.AVEBAR.1,NA,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,C5.AVEBAR.1,NA,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,3/6/24,March,D2.AVEBAR.1,C,9.75,31,18.75,,,,,,,,,,,,,,,,,,,
BW,3/6/24,March,D6.AVEBAR.1,TL,4.25,24,24.5,,,,,,,,,,,,,,,,,,,
BW,3/6/24,March,E8.AVEBAR.1,BC,11.5,35,28,,,,,,,,,,,,,,,,,,,
BW,3/6/24,March,F3.AVEBAR.1,CR,6,33,26.5,,,,,,,,,,,,,,,,,,,
BW,3/6/24,March,F8.AVEBAR.1,CT,7.75,18,16.5,,,,,,,,,,,,,,,,,,,
BW,3/6/24,March,G1.AVEBAR.1-D2,TR,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
BW,3/6/24,March,G8.AVEBAR.1,BC,5.5,20,16,,,,,,,,,,,,,,,,,,,
BW,3/6/24,March,H5.AVEBAR.1-E8,CR,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,I1.AVEBAR.1,BR,9.75,37,39,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,I4.AVEBAR.1,NA,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,J1.AVEBAR.1,NA,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,A5.AVEBAR.1,TR,8.25,20,14.5,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,A8.AVEBAR.1,BC,9.5,41,34,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,B2.AVEBAR.1,BL,10,18.5,10.5,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,B5.AVEBAR.1-A8,TL,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,C1.AVEBAR.1,BR,9.25,6.5,5.5,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,D4.AVEBAR.1,BC,5.5,13,11.5,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,E7.AVEBAR.1,BL,4.25,15.75,13.25,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,F4.AVEBAR.1,TC,10,35.5,27,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,F5.AVEBAR.1,BR,9.25,9.75,9,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,G2.AVEBAR.1-G5,BR,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,G5.AVEBAR.1,TL,6,14.5,13.75,,,,,,,,,,,,,,,,,,,
BW,3/6/24,March,H4.AVEBAR.1,TL,7.5,16.5,16.5,,,,,,,,,,,,,,,,,,,
BW,3/6/24,March,H7.AVEBAR.1-D4,C,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
BW,3/6/24,March,I7.AVEBAR.1-A8,TC,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,J3.AVEBAR.1,BC,5,15,13,wrong id? might be BROMAD,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,J6.AVEBAR.1-C1,BR,N/A,N/A,N/A,NF,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,A2.AVEBAR.1,BR,N/A,N/A,N/A,wrong id,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,A4.AVEBAR.1,NA,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,B8.AVEBAR.1,BR,10.5,17.5,12,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,C6.AVEBAR.1,C,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,C7.AVEBAR.1,C,14.5,34,42,,,,,,,,,,,,,,,,,,,
BW,3/4/24,March,D3.AVEBAR.1,CT,6.75,21.5,15,,,,,,,,,,,,,,,,,,,
